title,keywords
QA Engineer,"['тестирование', 'svn', 'десктоп', 'теория', 'jira']"
Аналитик данных,"['анализ', 'analysis', 'dax', 'expressions', 'статистика']"
Тестировщик,"['фреймворк', 'postman', 'скрипт', 'образование', 'написание']"
Python developer (junior),"['django', 'число', 'celery', 'framework', 'владение']"
QA Инженер,"['мышление', 'ответственность', 'playwright', 'знакомство', 'использование']"
Специалист по тестированию / QA Engineer,"['уровень', 'знание', 'cypress', 'spa', 'приложение']"
Тестировщик ПО,"['строка', 'фреймворками', 'опыт', 'знание', 'linux']"
Python-разработчик,"['разработка', 'drf', 'redis', 'опыт', 'celery']"
Python Developer,"['разработка', 'проектов', 'web', 'цикл', 'база']"
Инженер по тестированию,"['shell', 'версия', 'контроль', 'скрипт', 'уровень']"
Python Разработчик,"['субд', 'framework', 'postgresql', 'желание', 'fastapi']"
Инженер по тестированию / QA engineer (виртуализация),"['iac', 'конфигурациями', 'ci', 'terraform', 'управление']"
IT-специалист,"['ведение', 'учёт', 'преимущество', 'power', 'bi']"
Senior Frontend Developer / Старший фронтэнд разработчик,"['node', 'задача', 'плюс', 'sql', 'знание']"
QA Engineer / Специалист по тестированию,"['virtualbox', 'vmware', 'виртуализации', 'администрирование', 'технология']"
Специалист по тестированию,"['навык', 'создание', 'ansible', 'bash', 'бд']"
Python-разработчик,"['django', 'flask', 'фреймворками', 'fastapi', 'rest']"
Тестировщик,"['linux', 'astra', 'преимущество', 'работа', 'навык']"
"Аналитик данных (Python, SQL)","['excel', 'powerpoint', 'word', 'пакет', 'программа']"
Стажер-разработчик,"['программирование', 'php', 'код', 'основа', 'знание']"
Java разработчик (Java+SpringBoot+Kotlin),"['apache', 'airflow', 'greenplum', 'версия', 'контроль']"
Junior Python Backend Developer,"['drf', 'знание', 'postgresql', 'умение', 'работа']"
Python-разработчик,"['паттерн', 'проектирование', 'ооп', 'принцип', 'опыт']"
Тестировщик,"['shell', 'запрос', 'docker', 'программирование', 'язык']"
Тестировщик (QA engineer),"['тестирование', 'дизайн', 'техник', 'вид', 'процесс']"
Middle QA Engineer / Тестировщик,"['контейнер', 'опыт', 'gitlab', 'docker', 'автоматизация']"
Python-разработчик,"['nan', 'aiogram', 'aiohttp', 'airflow', 'allure']"
Технический директор,"['зрение', 'интеллект', 'робототехника', 'область', 'стек']"
Python Developer Middle / Middle+,"['фреймворками', 'опыт', 'веб', 'работа', 'django']"
Python-разработчик,"['разработки', 'backend', 'проектирование', 'веб', 'стек']"
Java-разработчик (Инвестиционный блок),"['spring', 'разработка', 'boot', 'core', 'знание']"
Тестировщик ПО (ручное тестирование веб и мобильных приложений на Android и Windows),"['json', 'умение', 'формат', 'android', 'studio']"
Тестировщик junior+ / middle (Москва),"['allure', 'mongo', 'clickhouse', 'использование', 'преимущество']"
Тестировщик / QA + 2nd line support,"['swagger', 'сертификат', 'наличие', 'основа', 'опыт']"
Аналитик данных,"['визуализация', 'дашбордов', 'excel', 'ms', 'отчёт']"
Manual QA Engineer (Middle),"['способность', 'среда', 'etc', 'готовность', 'желание']"
QA engineer,"['тестирование', 'web', 'selenium', 'сервис', 'опыт']"
Инженер по тестированию (ручное тестирование),"['тестирование', 'requests', 'обеспечение', 'postman', 'swagger']"
Заместитель директора департамента информационных технологий,"['anycast', 'wireguard', 'zabbix', 'устройство', 'grafana']"
Тестировщик ПО (QA Engineer),"['автоматизация', 'навык', 'тестирование', 'год', 'опыт']"
Junior ML Разработчик,"['ml', 'кандидат', 'проект', 'опыт', 'aiogram']"
Middle Frontend-разработчик,"['figma', 'wordpress', 'mysql', 'php', 'знакомство']"
Старший аналитик,"['коммерция', 'позиция', 'стык', 'финансов', 'power']"
Software Engineer,"['kimep', 'nazarbayev', 'university', 'вуз', 'выпускник']"
QA engineer / Тестировщик,"['автотестов', 'linux', 'плюс', 'написание', 'язык']"
Разработчик Python,"['стиль', 'pandas', 'gitlab', 'api', 'программирование']"
Разработчик,"['навык', 'react', 'docker', 'javascript', 'django']"
Python Developer,"['асинхронность', 'понимание', 'вид', 'задача', 'очередь']"
Тестировщик (Web и Mobile),"['join', 'логи', 'эмулятор', 'android', 'studio']"
Python-разработчик (Начинающий),"['пример', 'желание', 'программирование', 'aiogram', 'aiohttp']"
Python Developer/DevOps (Python разработчик/Девопс),"['машина', 'окружение', 'развёртывание', 'администрирование', 'docker']"
Web-программист - стажер,"['carfast', 'авто', 'аукцион', 'игрок', 'казахстан']"
Python-разработчик,"['orm', 'sqlalchemy', 'asyncio', 'знание', 'git']"
Аналитик данных,"['matplotlib', 'sheets', 'макросы', 'таблица', 'формула']"
QA инженер (PPEM),"['db', 'ui', 'яп', 'api', 'автоматизация']"
Python разработчик / Python Developer,"['developer', 'роль', 'стек', 'технология', 'год']"
Junior Python Backend Developer,"['терминал', 'алгоритм', 'структура', 'знание', 'образование']"
Руководитель отдела аналитики,"['команда', 'инструмент', 'данными', 'система', 'bi']"
Junior Python-developer (Python разработчик),"['навык', 'фреймворков', 'код', 'веб', 'fastapi']"
Python-разработчик,"['знание', 'aiogram', 'aiohttp', 'airflow', 'allure']"
Тестировщик,"['тестирование', 'testrail', 'confluence', 'управление', 'jira']"
Junior Python-разработчик,"['язык', 'mavlink', 'ws', 'настройка', 'протокол']"
Тестировщик с навыками SQL,"['автотестирования', 'проект', 'java', 'плюс', 'aiogram']"
QA-инженер (Manual/auto),"['тестирование', 'тест', 'javascript', 'api', 'автоматизация']"
